layer_name,module_path,module_type,parent_block,candidate_group,supports_forward_hook,output_type,output_shape,dtype,device,output_dtype,output_device,number_of_elements,estimated_memory,estimated_memory_mb,hook_error,num_parameters
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.1,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.1,Dropout,unet.up_blocks.1,self_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0.norm2,unet.up_blocks.1.attentions.1.transformer_blocks.0.norm2,LayerNorm,unet.up_blocks.1,transformer_block,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,2560
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2,Attention,unet.up_blocks.1,cross_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,Linear,unet.up_blocks.1,cross_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,1638400
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,Linear,unet.up_blocks.1,cross_attention,True,torch.Tensor,"[1, 77, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,98560,0.18798828125,0.18798828125,,983040
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,Linear,unet.up_blocks.1,cross_attention,True,torch.Tensor,"[1, 77, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,98560,0.18798828125,0.18798828125,,983040
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out,ModuleList,unet.up_blocks.1,cross_attention,True,,,,,,,,,,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,unet.up_blocks.1,cross_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,1639680
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.1,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.1,Dropout,unet.up_blocks.1,cross_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0.norm3,unet.up_blocks.1.attentions.1.transformer_blocks.0.norm3,LayerNorm,unet.up_blocks.1,transformer_block,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,2560
unet.up_blocks.1.attentions.1.transformer_blocks.0.ff,unet.up_blocks.1.attentions.1.transformer_blocks.0.ff,FeedForward,unet.up_blocks.1,feed_forward,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net,unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net,ModuleList,unet.up_blocks.1,feed_forward,True,,,,,,,,,,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0,unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0,GEGLU,unet.up_blocks.1,feed_forward,True,torch.Tensor,"[1, 256, 5120]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,unet.up_blocks.1,feed_forward,True,torch.Tensor,"[1, 256, 10240]",torch.float16,cuda:0,torch.float16,cuda:0,2621440,5.0,5.0,,13117440
unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.1,unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.1,Dropout,unet.up_blocks.1,feed_forward,True,torch.Tensor,"[1, 256, 5120]",torch.float16,cuda:0,torch.float16,cuda:0,1310720,2.5,2.5,,0
unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,Linear,unet.up_blocks.1,feed_forward,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,6554880
unet.up_blocks.1.attentions.2.transformer_blocks,unet.up_blocks.1.attentions.2.transformer_blocks,ModuleList,unet.up_blocks.1,transformer_block,True,,,,,,,,,,,0
unet.up_blocks.1.attentions.2.transformer_blocks.0,unet.up_blocks.1.attentions.2.transformer_blocks.0,BasicTransformerBlock,unet.up_blocks.1,transformer_block,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,0
unet.up_blocks.1.attentions.2.transformer_blocks.0.norm1,unet.up_blocks.1.attentions.2.transformer_blocks.0.norm1,LayerNorm,unet.up_blocks.1,transformer_block,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,2560
unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1,Attention,unet.up_blocks.1,self_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,0
unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_q,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_q,Linear,unet.up_blocks.1,self_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,1638400
unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_k,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_k,Linear,unet.up_blocks.1,self_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,1638400
unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_v,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_v,Linear,unet.up_blocks.1,self_attention,True,torch.Tensor,"[1, 256, 1280]",torch.float16,cuda:0,torch.float16,cuda:0,327680,0.625,0.625,,1638400
unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out,ModuleList,unet.up_blocks.1,self_attention,True,,,,,,,,,,,0
